ID,"First Name","Last Name","Company Name","Company Slug",Email,Overview,Phone,Website,"Number of Brands","Number of Products",City,State,Country,Facebook,Twitter,Instagram,Thumblr,Youtube,Googleplus,"Company Age","Allow Dropshipping",Tags,"Show Video"
34,"first name","last name","Carol\'s Daughter",carols-daughter,,"  In 1993, Carols Daughter was born in Brooklyn, N.Y., out of my kitchen, with the belief that beauty lives within us all. I wanted to create products that bring out the natural and inherent beauty each person possesses. 
Our hair, skin and body indulgences meet the beauty lifestyle needs of men and women all over the world. For this I am truly honored, and I am grateful that each one of you is a part of this journey. 
After nearly 20 years, I am proud that we continue to infuse rare, natural ingredients and a lot of love into our products, helping us remain true to our motto: Beauty By Nature.\" - Lisa Price, Carol\'s Daughter",3254235,http://www.CarolsDaughter.com,23,34,"New York",NY,"United States",,,,,,,90,No,,Yes
67,andru,bond,"Nestro Tro",nestro-tro,info@mail.com,"           This is bio for company frhtgnbth ethrtu",314132412,http://www.example.com,12,50,Khulna,CO,"United States",,,,,,,14,No,,No
68,vcnhbvmn,mvm,vgfbc,vgfbc,sfde@fg.gh,ghgfhfg,34325,rgter,12,23,fgfdh,AL,"United States",,,,,,,0,No,,No
69,dhgh,gfhjg,sfdgf,sfdgf,dfdsfd@edfw.fgf,fdhgfjh,21312,dfgfdg,12,12,fgfd,AL,"United States",,,,,,,0,No,,No
70,fgfdghg,hgh,fgf,fgf,dfghd@rtr.rgr,fghfh,0,rgf,23,454,fg,AL,"United States",,,,,,,0,No,,No
71,njmhmj,hgmkg,fdgngf,fdgngf,rgfg@efrw.gfg,fdhdhg,21343,fghfdh,234,344,3fgdhgd,AL,"United States",,,,,,,0,No,,No
72,Charlene,Davis,"Strength Of Nature",strength-of-nature,info@555.com," We are based in Savannah, Ga and we current have 6 brands and over 50 products that we offer at major retailers worldwide.",555555,www.strength.com,8,50,Savannah,GA,"United States",,,,,,,2002,No,,No
96,Data,Entry,"Data Entry",data-entry,dataentry@email.com,"About company",1234567,www.company.com,10,1000,"New york",AL,"United States",,,,,,,0,No,,No
77,John,Ritchi,Profective,profective,dfsdfsdf,"  This is dynamic description about brand. Edit this description from brand admin panel. You can also update profile photo from brand admin My Account tab. You can change it any time by login your dashboard. This is dynamic description about brand. Edit this description from brand admin panel. You can also update profile photo from brand admin My Account tab. You can change it any time by login your dashboard ",123456789,www.profective.com,1,1000,"New York",NY,"United States",,,,,,,0,No,,No
78,Briyan,Doe,"Beautiful Textures",beautiful-textures,dfsdfsd,"   Achieve amazing manageability and styling versatility for Curly, Wavy, Kinky-Coily or Frizzy hair. Get soft defined curls, bodacious bouncy spirals, and smooth silky tresses with this Intensive Moisture-Rich Formula for mixed textured hair.
",45123678,www.BeautifulTextures.com,2,500,"New York",NY,"United States",,,,,,,2008,No,,Yes
79,Tahlija,Waajid,"Taliah Waajid",tahlija-waajid,,"  Taliah Waajid has been in the natural hair care business for over 25 years. Her love for natural hair began with her own hair. Her mother refused to give in when Taliah begged her for a “perm”. This forced Taliah to learn to manage, style and love the natural hair texture she was born with. Taliah would create styles like the Curly Afro, combination cornrow styles, box braids, twists, etc. Soon her friends and neighbors would ask her to create some of those styles for them. Taliah loved doing hair and when she noticed that people valued her skills enough to pay her for them; at the age of 14 she started her business. Her business grew so quickly that she had to stop doing hair in the house and find a booth to rent in a salon. This proved to be a challenge because back in the early 1980’s beauty salons did not want braiders or natural hair stylists renting space in their salon.",12653498,www.NaturalHair.org,1,1500,"Atlanta, GA",NY,"United States",,,,,,,12,No,,No
80,Jessika,Perege,"Miss Jessie\\\'s",miss-jessies,dfsdfsdf,"      Founded by sisters Miko and Titi Branch, Miss Jessies Products took the curly hair market by storm in 2004! Armed with curly hair product development from their salon/workshop, they were able to perfect their curly hair product performance. Known for its expertise in styling curly, kinky, and wavy hair of all types and textures, Miss Jessies Salon became the go to place for curly hair solutions. Titi and Miko, inspired by their grandmother and her can-do attitude decided to perfect their own curly hair product creations and Miss Jessie was born.",78124536,www.MissJessies.com,3,10,"New York",NY,"United States",,,,,,,2004,No,,Yes
81,Deva,Curl,"Deva Curl",deva-curl,dfsdfsdf,"        Lorraine Massey was born in Leichester, England, and started cutting hair in a local salon at age 13. \"I went to the salon every day after school, and as often as I could on weekends. I couldn\'t get enough.\" At 16, she went to study with Martin Smith, the artistic director of Remi-Toni & Guy, and at 19, took her scissors and went traveling - to Hong Kong, Japan, and the Philippines - where she lived in a hut and cut hair on the beach. At 23, she came to New York, where she raised three children while establishing Devachan in Lower Manhattan, eventually teaming up with Denis DaSilva. Passionate about the cutting and caring of curly hair, Massey is the author of a hilarious how-to manifesto for the curly-haired, called \"Curly Girl,\" (Workman Press, 2002)",45891234,www.DevachanSalon.com,1,20,"New York",NY,"United States",,,,,,,1995,No,,Yes
98,Jane,Carter,"Jane Carter Solution",jane-carter-solution,," Jane Carter Solution was created to fill a need for natural hair products that work effectively on all hair textures. During my 20 years of experience in the industry, I worked with every hair texture imaginable and wanted to find a solution for all hair types. I decided to start the Jane Carter Solution to provide my clients with quality products for natural hair care.",2147483647,www.JaneCarterSolution.com,1,23,Livingston,NJ,"United States",,,,,,,1992,No,"Nourish & Shine,Scalp Nourishing Serum,Hair Nourishing Serum,Moisture Nourishing Shampoo,Creamy Leave-In Styling Smoother,Wrap and Roll,Twist & Lock,Natural Hold Spray Gel,Natural Hold Locking Spray,Curl Defining Cream,Nourish & Shine,Scalp Nourishing Serum,Hair Nourishing Serum,Moisture Nourishing Shampoo,Creamy Leave-In Styling Smoother,Wrap and Roll,Twist & Lock,Natural Hold Spray Gel,Natural H",No
99,"Charlene ","Davidson ","African Pride",african-pride,dsdfsdf,"      Olive Miracle Deep Conditioning Hair Care helps provide moisture and nutrients the hair & scalp desires, because it helps replace the moisture and elasticity lost to styling and environmental factors. Naturally rich in vitamin E and other powerful antioxidants, African Pride Olive Miracle Deep Conditioning Hair Care helps restore and retain hair and scalp’s health, vitality and natural luster.",2147483647,www.african-pride.com,1,30,"Savannah ",GA,"United States",,,,,,,0,No,,Yes
100,"Wendy ",Levy,"Mixed Chicks",mixed-chicks,,"  Europe, Africa, Asia, America...we not only come from everywhere, but we are going everywhere. The world is becoming more and more diverse, and we celebrate that. Here is the unfolding story of just two of the many millions of \"mixed chicks\":

For years, multi-cultural people with hard to manage hair traveled from store to store, trying to blend products in a hopeless attempt to tame their locks. Wendi LEVY and Kim ETHEREDGE, two \"mixed chicks\", created a product line because they needed it. Then, something happened...friends and family started encouraging them to package it, and soon they had a full blown business running out of the garage. After a little door to door hustling, a few celebrity endorsements, and a ton of online customer support, MIXED CHICKS is bringing their products to the world.",2147483647,http://www.mixedchicks.net,1,24,"Los Angeles ",CA,"United States",,,,,,,0,No,"HIS MIX Leave-In Conditioner,HIS MIX Firm Hold Gel,Straightening Serum,Replenishing Oi,Leave-In Conditioner,Shampoo For Kids,Gloss and Shining Hair Silk,Leave-In Conditioner,Sulfate Free Shampoo,Deep Conditioner,Clarifying Shampoo",No
101,Test,Test,"Dark and Lovely",dark-and-lovely,,"    Mothers and daughters, rejoice! Dark and Lovely® Beautiful Beginnings® has an all-new reformulated product line, and some exciting new products, too! Designed specifically for young girls’ delicate hair, our new products are infused with Coconut Oil and Shea Butter to provide our best protection and comfort for your daughter’s hair and scalp. Now you can keep your little girl’s hair healthy-looking, strong, and manageable everyday with our full line of maintenance and styling products.",2147483647,http://www.softsheen-carson.com/_us/_en/dark-and-lovely/index.aspx/,3,36,"New York",NY,"United States",,,,,,,0,No,,Yes
125,Test,Teste,Agadir,agadir,,"   Our Company began as a dream for two brothers Paul and Archie Bogosian in the early 1960\'s. They gained expertise as hairdressers and salon owners with multiple salon locations in New York City and a diverse clientele. The brothers realized that the haircare products they were using and offering to their clients did not meet their performance expectations.",2147483647,https://www.agadirint.com/,1,27,"New York",NY,"United States",,,,,,,0,No,,No
102,Devon,Katzev,"Mane N Tail",mane-n-tail,sddfgfdg123,"       Devon B. Katzev, President of Straight Arrow, says, “Our Original formula Mane ‘n Tail Shampoo and its companion conditioner have been a best kept secret for beauty aficionados everywhere.” How did it all begin? Those two particular products reached iconic status when the equestrian audience started using the shampoo and conditioner that they used on their horses, on themselves! “They told their friends, and then the word spread like wildfire,” continues Mr. Katzev.",2147483647,http://manentail.com,1,29,"Hamilton ",NJ,"United States",,,,,,,0,No,,Yes
103,Shea,Moisture,SheaMoisture,sheamoisture,,"     Founded by the owners of Sundial Brands in 2012, and incorporated as a 501 (c) (3) not-for-profit, public charity, the Sofi Tucker Foundation supports causes inspired by the woman whose life’s work forms the basis for Sundial Brands products. In 1912, as a young widow, Sofi Tucker sold African Black Soap and hand crafted Shea Butter based skin products in the village market and throughout the countryside of Bonthe, Sierra Leone. In her memory, the foundation provides financial grants to organizations that seek to economically empower women, their families and communities in the United States and in Africa.",2147483647,Www.sheamoisture.com,1,30,Amytville,NY,"United States",,,,,,,0,No,"Sheamoisture, sundial brands",Yes
104,Et,Brown,Palmers,palmers,,"     E.T. Browne Drug Company is one of the longest standing proprietors of skin and hair care products in the United States.  The company has been family owned since the middle of the nineteenth century and has been under the current ownership since 1971. E.T. Browne Drug Company has been headquartered in New Jersey for over 50 years.
",2147483647,Www.palmers.com,1,10,"Hamilton ",NJ,"United States",,,,,,,0,No,,No
105,Creme,Nature,"Creme Of Nature",creme-of-nature,,"      The Creme of Nature®  brand includes a wide range of product choices to help you achieve the look you want in the healthiest, most nourishing way possible. Explore our full product offering to best suit your needs.",2147483647,http://cremeofnature.com,2,40,Jacksonville,FL,"United States",,,,,,,0,No,"Argan Oil Perfect 7, Strength & Shine Leave-in Conditioner, Replenishing Sheen Spray, Moisturizing Milk Masque, Argan Oil Perfect Edges Control Hair Gel, Argan Oil Relaxer",Yes
106,Tymeka,Lawrence,Hairfinity,hairfinity,,"   After experiencing problems with her own hair, Tymeka Lawrence began to research hair care solutions for common hair problems. She gathered information on nutrients and supplements that promoted healthy hair growth and maintenance and developed a website to share this information with others looking for healthy hair care regimens.
She soon discovered it was difficult to find products that contained effective and safe ingredients.
Together, with her husband Brock, Lawrence formed Brock Beauty in 2006 and launched the company\\\\\\\'s first product, Hairfinity, a vitamin supplement that promotes hair growth. As demand for the product grew, the couple developed the Essentious product line, which includes sulfate and paraben-free shampoo, conditioning treatments and a moisturizer, which complements the Hairfinity supplement.",2147483647,http://www.shopbrockbeauty.com/?AffId=4797,1,1,Slidell,LA,"United States",,,,,,,2004,No,,Yes
107,"Fantasia ","Fan ","Fantasia Hair Care",fantasia-hair-care,,"       Over the past 45 years, the vast majority of hair care manufacturers have either gone out of business, merged with other companies or abandoned the beauty industry entirely. Our company, Fantasia Industries Corporation is not merely a survivor, but an innovator of products for the salon industry. Fantasia products are multicultural. ",2147483647,http://www.fantasiahaircare.com/,1,53,"Paramus ",NJ,"United States",,,,,,,0,No,,No
108,Doo,Grow,"Doo Gro",doo-grow,,"   DOO GRO hair care products provide HELP FOR HAIR THAT WON\'T GROW!",1,Www.doogrow.com,1,41,"Olive Branch",MS,"United States",,,,,,,0,No,,No
109,"Bigen ","Owner ","Bigen ",bigen-,,"    HOYU, A PREMIER HAIR COLORING COMPANY, has not only earned the largest market share in Japan, but is also one of the leading providers of hair color and hair care products in more than 70 countries. As an ambassador of the joys of hair coloring, Hoyu’s slogan “COLOR YOUR HEART” expresses our desire to add dimension to people’s lives through an extensive line of innovative hair color and hair care products. With a strong business background and an unending passion for coloring and caring for hair, Hoyu marked its 100th anniversary in February 2005.",2147483647,http://www.bigen-usa.com/,1,4,Atlanta,GA,"United States",,,,,,,0,No,,Yes
110,Bernard,"Bronner ","4 Naturals",4-naturals,,"4 Naturals is a revolutionary multi-ethnic hair care system created for all hair types. 4 Naturals™ is formulated without silicone\\\\\\\'s, harsh alcohols, mineral oil, petroleum, paraben, or sulfates. 4 Naturals™ is filled with selected blends of vitamins, nutrients, organic moisturizers, and natural curl enhancers.Our numbering system makes it easy for you to identify which products best suit your type of hair. What\\\\\\\'s your type:",2147483647,Www.4naturals.com,1,11,Atlanta,GA,"United States",,,,,,,0,No,,No
111,Kinky,Curly,"Kinky Curly ",kinky-curly,adsde3,"   Stop being a slave to your hair. Step away from the blowdryer. Unplug that flat iron.
Go Natural and experience the freedom of wash and go hair.
Natural hair is beautiful hair and with the right products and styling techniques can flourish and grow to great lengths!
Kinky-Curly TM brand hair products are formulated to add moisture, give hold without drying hair out and also offer protection from the elements.",2147483647,Www.kinky-curly.com,1,14,"Atlanta ",GA,"United States",,,,,,,0,No,,No
