ID,"Product Name",Description,"Short Description",Instructions,Ingredients,"Brand Description","Product Consistency","Intended Gender","Type of Hair","Is Organic",Quantity,UPC,"Product Tags","Hair Style","Hair Length","Hair Texture","Cemical Treatments","Hair Conditions","Hair Description",Demographic,"Targeted Age Range",Price,"Image Url"
4188,"Advanced Haircare - Smooth Intense Polishing Shampoo ","Smooth Intense Polishing Shampoo instantly helps soften and tame rough textures, leaving hair polished and smooth. When used with the conditioner and serum or creme it controls frizz for up to 72 hours. Clinically tested System of shampoo and conditioner tested for instant results + lasting transformation.
Clinically Tested.
72 Hours Ultra-Polished.
Frizz Control.","Smooth Intense instantly helps soften and tame rough textures leaving hair polished, smooth, and frizz-controlled over time.","Massage into wet hair, lather, rinse. Follow with Smooth Intense Conditioner. For extra frizz control and shine use our Smooth Intense serum. ","AQUA / WATER / EAU • SODIUM LAURETH SULFATE • COCO-BETAINE • LAURETH-5 CARBOXYLIC ACID • SODIUM CHLORIDE • AMODIMETHICONE • PARFUM / FRAGRANCE • COCAMIDE MIPA • PPG-5-CETETH-20 • SODIUM BENZOATE • POLYQUATERNIUM-10 • PEG-55 PROPYLENE GLYCOL OLEATE • PROPYLENE GLYCOL • SALICYLIC ACID • PEG-60 HYDROGENATED CASTOR OIL • LINALOOL • HEXYL CINNAMAL • ARGININE • GLUTAMIC ACID • BENZYL SALICYLATE • BENZYL ALCOHOL • LIMONENE • SERINE • HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN • AMYL CINNAMAL • CITRONELLOL • ARGANIA SPINOSA OIL / ARGANIA SPINOSA KERNEL OIL • ALPHA-ISOMETHYL IONONE • METHYL COCOATE • SODIUM COCOATE • SODIUM HYDROXIDE • CI 19140 / YELLOW 5 • CI 14700 / RED 4 • CITRIC ACID ",,Liquid,both,"Naturally Straight,Curly",no,1000,071249239971,,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c",None,"No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",4.99,http://hairlibrary.com/wp-content/uploads/2014/08/Smooth-Intense-Polishing-Shampoo.jpg
4190,"Ionic Turbo Dryer","This purple and gold dyer uses ionic technology to help retain moisture and to prevent breakage for shinier, healthier-looking hair styles. Dryer comes with 3 heat/speed settings so you can dry and style your hair exactly the way you want. When you are done styling, use the cool shot setting to release cool air to help set your style. Includes a concentrator nozzle and pick attachment for easy hair straightening while you dry. Has a removable end cap for easy cleaning as well.","Dries hair fast while retaining moisture and reducing frizz
Great for the ethnic consumer
Conditioning IONS help retain moisture to prevent breakage for shinier, healthier-looking styles.
Cold Shot button releases cool air to set the style","read labels, warnings, and directions before using or consuming a product","See package for product ingredients",,"Styling Object",both,"Naturally Straight,Curly",no,1000,***,,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c",None,"No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45",24.84,http://hairlibrary.com/wp-content/uploads/2014/08/Turbo-Ionic-Dryer.jpg
4192,"CERAMIC CURL STICK","This purple and gold ceramic curl stick is easy to use- simply wrap hair around the barrel for shiny, frizz-free spiral curls with no creases! The3/4-inch barrel easily creates long-lasting, shiny spiral curls and has a flipper-less design for salon style results- no creases or kinks, just perfect curls. The ceramic technology provides high, even heat that penetrates hair from the inside-out, helping hair retain moisture for frizz-free, shiny hair styles. The curler heats up to 450 degrees for instant results and has instant heat recovery so it stays hot, curl after curl, so you aren&#39;t wasting time in the morning. The curler has a tangle-free swivel cord, built in safety stand, and heat protective glove.

Ceramic Technology provides high, even heat that penetrates hair from the inside-out, helping hair retain moisture for frizz-free, shiny styles. This styling tool provides instant heat recovery for consistent heat performance curl after curl.","Ceramic Technology provides high, even heat that penetrates hair from the inside-out, helping hair retain moisture for frizz-free, shiny styles. This styling tool provides instant heat recovery for consistent heat performance curl after curl.","read labels, warnings, and directions before using or consuming a product","See package for product ingredients",,"Styling Object",female,"Naturally Straight,Curly",no,1000,097954216014,,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c",None,"No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45",22.56,http://hairlibrary.com/wp-content/uploads/2014/08/CERAMIC-CURL-STICK.jpg
4194,"Titanium Curling Iron","Titanium Technology transfers heat faster than other materials and produces conditioning ions that lock in moisture for frizz-free, shiny styles. This styling tool provides instant heat recovery for consistent heat performance curl after curl.
Easily creates long lasting frizz free medium size curls
Great for the ethnic consumer
Up to 450 degree F. STAY HOT
30 second fast heat up
Instant Heat Up for fast results","Easily creates long lasting frizz free medium size curls
Great for the ethnic consumer
Up to 450 degree F. STAY HOT
30 second fast heat up
Instant Heat Up for fast results","read labels, warnings, and directions before using or consuming a product","See package for product ingredients",,"Styling Object",both,"Naturally Straight,Curly",no,1000,097954216007,,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c",None,"No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",17.19,http://hairlibrary.com/wp-content/uploads/2014/08/Titanium-Curling-Iron.jpg
4196,"Titanium 3-Barrel Waver","Easily creates frizz-free, shiny waves with this purple 3-barrel waver. The 3 barrel design creates long-lasting, defined waves without kinking or crimping. Titanium technology in the waver provides high, even heat and conditioning ions to lock in moisture, making it ideal for all hair types. The waver heats up to 450 degrees and has multiple heat settings so you can select the perfect temperature for your hair style. Heats up in just 30 seconds and has instant heat recovery so it stays hot wave after wave so you can style your hair quickly. The waver has a tangle free swivel cord and safety stand.","Titanium Technology transfers heat faster than other materials and produces conditioning ions that lock in moisture for frizz-free, shiny styles. This styling tool provides instant heat recovery for consistent heat performance wave after wave.","read labels, warnings, and directions before using or consuming a product","See package for product ingredients",,"Styling Object",both,"Naturally Straight,Curly",no,1000,"884455818553 ",,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c",None,"No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",22.50,http://hairlibrary.com/wp-content/uploads/2014/08/Titanium-3-Barrel-Waver.jpg
4198,"Ceramic Straightener","Ceramic Technology provides high, even heat that penetrates hair from the inside-out, helping hair retain moisture for frizz-free, shiny styles. This styling tool provides instant heat recovery for consistent heat performance pass after pass.
Easily Smooths and Straightens thick, lively hair right at the root.
1&#34; Ceramic Plates
Up to 450 degree F. STAY HOT
Instant Heat Recovery for fast styling
Great for the Ethnic Consumer","Easily Smooths and Straightens thick, lively hair right at the root.
1"" Ceramic Plates
Up to 450 degree F. STAY HOT
Instant Heat Recovery for fast styling
Great for the Ethnic Consumer","read labels, warnings, and directions before using or consuming a product ","See package for product ingredients",,"Styling Object",female,"Naturally Straight,Curly",no,1000,074590507935,,"Weave,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c",None,"No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45",26.15,http://hairlibrary.com/wp-content/uploads/2014/08/Ceramic-Straightener.jpg
4200,"Ionic Salon Dryer","The purple and black salon ionic dryer uses ionic technology to help retain moisture to prevent breakage so you can have shinier, healthier-looking hair styles. If you don&#39;t want to use the ionic technology you can turn it off with the on/off switch, and there is an on indicator light to let you know when the ionic technology is turned on. The balanced airflow design dries hair evenly and has 2 heat and speed setting so you can choose the setting for perfect drying and styling control. When you are done drying and styling your hair you can use the cool setting, which releases cool air to set the style. The large round hood of the dryer can accommodate a jumbo set of rollers. The dryer&#39;s convenient cord storage area and collapsible design makes storage and traveling easier.","No matter what your hair type, multiple heat and speed settings provide drying and styling control, and Ionic Technology helps retain moisture to prevent breakage for shinier, healthier-looking styles.","read labels, warnings, and directions before using or consuming a product",,,"Styling Object",both,"Naturally Straight,Relaxed Straight,Curly",no,1000,885483322203,,"Weave,Relaxed Straight Hair ,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c"," Relaxed Straight","No, I don't have any hair conditions","soft,fine","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",35.17,http://hairlibrary.com/wp-content/uploads/2014/08/Salon-Ionic-Dryer.jpg
4202,"Argan Oil of Morocco Shampoo","Indulge the senses with this precious blend of argan oil of Morocco which instantly penetrates the hair shaft restoring shine and softness while strengthening. This renewing formula is free of sulfates and parabens, and is safe for color-treated hair. OGX Renewing Argan Oil of Morocco Shampoo will restore moisture to dry hair, protect from styling heat and UV damage while creating soft, seductive, silky perfection.","This exotic precious blend of Moroccan argan oil penetrates, moisturizes, renews and creates softness and strength while protecting your hair from harmful styling heat and UV damage. Unique blend of sulphate free product surfactants.","Apply Organix Shampoo generously to wet hair, massage into a lather through to ends, then rinse the hair thoroughly. After shampooing, follow Organix Conditioner. For best results, use in conjunction with other Organix products. ","Aqua (water), disodium laureth sulfosuccinate, sodium C-14-16 olefin sulfonate, cocamidopropyl betaine, DEA, glycol distearate, argania spinosa (argan) kernel oil, theobroma cacao (cocoa butter) extract, parfum, cocos nucifera (coconut) oil, persea gratissima (avocado) oil, aloe barbadensis (aloe) leaf extract, panthenol, polyquaterrnium-11, cetyl alcohol, guar hydroxypropyltrimonium chloride, PEG-23M, DMDM hydantoin, CI 16035 (red 40), CI 19140 (yellow 5), limonene, lanalool.",,Liquid,both,"Naturally Straight,Relaxed Straight,Curly",no,1000,022796916112,,"Relaxed Straight Hair ,Permed/Texturized Hair,Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c","Colored Hair","Split Breakage,No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",7.99,http://hairlibrary.com/wp-content/uploads/2014/08/Argan-Oil-of-Morocco-Shampoo.jpg
4204,"Hydrating Keratin Masque","A creamy blend of cocoa butter and keratin proteins drench each strand with moisture while avocado oil and coconut oil reduce frizz, add illuminating shine and lasting smoothness. The rich Brazilian coconut oils and fortifying keratin give a luxurious, salon-style deep conditioning treatment that smoothes, straightens and adds sensational shine.","Cocoa butter, keratin, avocado and coconut combine to moisturize and smooth strands
Professional level deep conditioner
Use once or twice a week","Apply once or twice a week to clean wet hair. Let soak for 3-5 minutes. Rinse in cool water. ","Aqua (water), behentrimonium methosulfate (and) cetearyl alcohol, cetyl alcohol, glycerin, dimethicone, clyceryl stearate, cetearyl alcohol (and) ceteareth-20, cyclopentasiloxane, argania spinosa (argan) kernel oil, panthenol DMDM hydantoin, lanolin oil, parfum, methyl 4-hydroxybenzoate, propyl p-hydroxybenzoate, aloe barbadensis leaf, tetrasodium EDTA, hydrolyzed keratin protein, theobroma cacao (cocoa) seed butter, cocos nucifera (coconut) oil, persea gratissima (avocado) oil, yellow 5, red 4.",,Wax,both,"Naturally Straight,Curly",no,,"885822599334 ",,"Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c",None,"No, I don't have any hair conditions","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",6.94,http://hairlibrary.com/wp-content/uploads/2014/08/Hydrating-Keratin-Masque.jpg
4206,"Australian TeaTree Conditioner","Total confidence that your scalp and hair is balanced, beautiful and clean! Exclusive ingredients combine to soothe the scalp while giving your hair full body, shine and volume!
A soothing complex of exfoliating willow bark which gently removes build up allowing refreshing tea tree and neem oil to calm dry, itchy scalp while argan oil hydrates, bringing your scalp back to balance for hair that is fresh, soft and clean.","A soothing complex of exfoliating willow bark which gently removes build up allowing refreshing tea tree and neem oil to calm dry, itchy scalp while argan oil hydrates, bringing your scalp back to balance for hair that is fresh, soft and clean.","read labels, warnings, and directions before using or consuming a product","See package for product ingredients",,Liquid,both,"Naturally Straight,Curly",no,1000,022796916822,,"Naturally Curly Hair, Naturally Straight Hair","Very Short,Short,Medium,Long,Very Long","1a,2a,2b,2c,3a,3b,3c,4a,4b,4c",None,"Split Breakage,Split Breakage","coarse,soft,fine,thin","African/ Black,Caucasian,European,Spanish/Latin,Asian,Indian","19_25,26_45,46",11.26,http://hairlibrary.com/wp-content/uploads/2014/08/Scalp-Therapy-Australian-TeaTree.jpg
